メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 オープン 2WD,2006,6MT,148,AP2,4 - きれい,169 ~ 172,2024/3/1,ベースグレード,2200,7.5,黒,AC
ホンダ,S2000 オープン 2WD,1999,6MT,147,AP1,4 - きれい,122 ～ 126,2023/10/1,タイプＳ,2200,7.2,黒,AC AW
ホンダ,S2000 2WD,2002,6MT,140,AP1,4 - きれい,157 ～ 159,2023/10/1,ベースグレード,2000,,ピンク,AC 革
ホンダ,S2000 オープン 2WD,2002,6MT,140,AP1,4 - きれい,217 ～ 220,2023/7/1,,2000,6.3,パープル,AC 革
ホンダ,S2000 オープン 2WD,2004,6MT,135,AP1,4 - きれい,261 ~ 264,2024/3/1,タイプV,2000,,黒,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,135,AP1,4 - きれい,204 ～ 209,2024/1/1,ジオーレ,2000,7.9,ワイン,AC 革
ホンダ,S2000 オープン 2WD,2000,6MT,135,AP1,4 - きれい,154 ～ 159,2023/7/1,,2200,6.5,黒,AC NV TV AW SR 革
ホンダ,S2000 2WD,2000,6MT,132,AP1,4 - きれい,145 ～ 149,2023/6/1,,2000,6.11,AC NV TV AW 革,
ホンダ,S2000 オープン 2WD,2007,6MT,131,AP2,4 - きれい,219 ～ 225,2023/10/1,タイプＳ,2200,6.11,青,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2007,6MT,130,AP2,4 - きれい,236 ～ 239,2023/7/1,タイプＳ,2200,,青,AC AW
ホンダ,S2000 オープン 2WD,2003,6MT,130,AP1,4 - きれい,172 ～ 178,2023/7/1,,2200,,黒,AC 革
ホンダ,S2000 オープン 2WD,2000,6MT,129,AP1,4 - きれい,175 ～ 179,2024/3/1,タイプＶ,2000,,黄,AC 革
ホンダ,S2000 2WD,2000,6MT,128,AP1,4 - きれい,140 ～ 143,2023/8/1,タイプＶ,2000,6.7,パープル,AC AW 革
ホンダ,S2000 2WD,2005,6MT,125,AP1,4 - きれい,234 ～ 237,2023/10/1,,2000,,青,AC AW 革
ホンダ,S2000 2WD,2003,6MT,125,AP1,4 - きれい,157 ～ 162,2023/7/1,ベースグレード,2000,5.1,青,AC AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,124,AP1,4 - きれい,204 ～ 207,2023/12/1,,2000,,グレー,AC
ホンダ,S2000 2WD,2007,6MT,123,AP2,4 - きれい,260 ~ 266,2024/4/1,,2200,8.5,紺,AC AW
ホンダ,S2000 オープン 2WD,2006,6MT,123,AP2,4 - きれい,209 ～ 212,2024/2/1,ベースグレード,2000,6.2,シルバー,AC
ホンダ,S2000 オープン 2WD,2005,6MT,121,AP1,4 - きれい,253 ~ 258,2024/3/1,ベースグレード,2000,6.1,白,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2002,6MT,121,AP1,4 - きれい,199 ～ 203,2023/10/1,ベースグレード,2000,,パール,AC
ホンダ,S2000 オープン 2WD,2002,6MT,120,AP1,4 - きれい,203 ～ 207,2023/12/1,,2000,,青,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2000,6MT,119,AP1,4 - きれい,189 ~ 193,2024/3/1,ベースグレード,2000,7.1,パール,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,118,AP1,4 - きれい,268 ～ 274,2024/3/1,ジオーレ,2000,7.11,紺,AC AW 革
ホンダ,S2000 オープン 2WD,2003,6MT,118,AP1,4 - きれい,208 ～ 212,2023/10/1,ベースグレード,2000,6.11,シルバー,AC AW
ホンダ,S2000 2WD,2008,6MT,117,AP2,4 - きれい,239 ～ 242,2023/7/1,タイプＶ,2000,,シルバー,AC 革
ホンダ,S2000 オープン 2WD,2001,6MT,116,AP1,4 - きれい,181 ～ 185,2023/8/1,ベースグレード,2000,,黄,AC AW
ホンダ,S2000 2WD,2006,6MT,116,AP2,4 - きれい,217 ～ 223,2023/6/1,ベースグレード,2000,6.3,黄,AC AW
ホンダ,S2000 2WD,2007,6MT,113,AP2,4 - きれい,228 ～ 231,2023/9/1,,2000,,黒,AC NV TV AW 革
ホンダ,S2000 2WD,2001,6MT,112,AP1,4 - きれい,265 ~ 268,2024/4/1,,2000,,パール,AC AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,112,AP1,4 - きれい,269 ～ 273,2024/2/1,,2000,6.11,白,AC NV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,111,AP1,4 - きれい,309 ~ 314,2024/3/1,ベースグレード,2000,6.4,赤,AC AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,111,AP2,4 - きれい,244 ～ 248,2023/6/1,ベースグレード,2000,6.7,白,AC
ホンダ,S2000 2WD,2002,6MT,108,AP1,4 - きれい,218 ～ 223,2024/3/1,タイプＶ,2000,,黄,AC AW
ホンダ,S2000 2WD,1999,6MT,107,AP1,4 - きれい,167 ～ 171,2023/8/1,タイプＳ,2200,,黄,AC AW
ホンダ,S2000 2WD,2001,6MT,107,AP1,4 - きれい,184 ～ 187,2023/8/1,,2000,6.12,シルバー,AC AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,104,AP2,4 - きれい,307 ～ 309,2024/2/1,,2000,6.4,白,AC NV AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,104,AP1,4 - きれい,274 ～ 278,2023/6/1,ベースグレード,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,2009,6MT,103,AP2,4 - きれい,257 ~ 262,2024/4/1,,2200,,パープル,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2008,6MT,103,AP2,4 - きれい,244 ~ 250,2024/4/1,ベースグレード,2200,7.6,シルバー,AC AW
ホンダ,S2000 オープン 2WD,1999,6MT,103,AP1,4 - きれい,264 ~ 266,2024/3/1,ベースグレード,2000,6.9,黄,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2008,6MT,103,AP2,5 - すごくきれい,365 ～ 369,2023/8/1,,2000,,シルバー,AC
ホンダ,S2000 2WD,2002,6MT,102,AP1,4 - きれい,211 ～ 216,2023/10/1,タイプＶ,2000,6.1,青,AC
ホンダ,S2000 2WD,2009,6MT,101,AP2,4 - きれい,237 ～ 242,2024/3/1,タイプＶ,2000,6.11,青,AC NV AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,101,AP2,4 - きれい,254 ～ 258,2024/2/1,ベースグレード,2000,7.6,グレー,AC AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,101,AP1,4 - きれい,177 ～ 182,2023/10/1,,2000,,グレー,AC AW
ホンダ,S2000 オープン 2WD,2001,6MT,101,AP1,4 - きれい,183 ～ 187,2023/7/1,,2000,7.3,赤,AC
ホンダ,S2000 2WD,2000,6MT,100,AP1,4 - きれい,209 ～ 213,2023/9/1,タイプＳ,2200,6.7,黄,AC NV TV AW 革
ホンダ,S2000 2WD,2007,6MT,99,AP2,4 - きれい,271 ~ 273,2024/4/1,,2200,,白,AC NV TV AW 革
ホンダ,S2000 2WD,2003,6MT,99,AP1,4 - きれい,189 ～ 192,2023/10/1,ベースグレード,2000,5.1,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2004,6MT,98,AP1,4 - きれい,189 ～ 194,2023/11/1,ベースグレード,2000,7.12,青,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2000,6MT,97,AP1,4 - きれい,152 ～ 154,2023/12/1,,2200,,白,AC AW
ホンダ,S2000 オープン 2WD,2003,6MT,95,AP1,5 - すごくきれい,239 ～ 243,2024/3/1,,2200,,AC NV AW 革,
